,conservation_label,url,title,content
243,1,https://www.milenio.com/internacional/sequia-en-sudamerica-no-se-debe-al-cambio-climatico-expertos,"Sequa en Sudamrica no se debe al cambio climtico, advierten cientficos internacionales","El cambio climático no ha provocado la sequía de varios años que castiga zonas de Argentina, Uruguay, Brasil y Bolivia, aunque el calentamiento sí está empeorando algunos de sus efectos, según un nuevo estudio.
 Los tres años del fenómeno meteorológico natural de La Niña, un enfriamiento del Pacífico Central que cambia los patrones climáticos mundiales de forma temporal y que está durando mucho más de lo habitual, es el principal culpable de la sequía que ha devastado el centro de Sudamérica y que aún persiste, según un estudio publicado por científicos internacionales en World Weather Attribution. El reporte aún no ha sido revisado por otros científicos.
 La sequía afecta a la región desde 2019. El año pasado fue el más seco en el centro de Argentina desde 1960, se perdieron cosechas de forma generalizada y Uruguay declaró una emergencia agrícola desde octubre. También, el suministro de agua y el transporte se vieron afectados.
 No hay indicios de cambio climático en las precipitaciones. Pero, por supuesto, eso no significa que el cambio climático no juegue un papel importante en el contexto de estas sequías. Debido al incremento récord de calor que observamos, la tierra se seca más rápido y el impacto es más grave de lo que habría sido de otro modo, indicó el coautor del estudio, Friederike Otto, del Grantham Institute en el Imperial College de Londres.
 El calor ha aumentado la evaporación de la escasa agua que hay, empeorado la falta de agua natural y agravado la destrucción de cosechas, según los científicos. El mismo grupo de expertos descubrió que el cambio climático había hecho 60 veces más probable la ola de calor del pasado diciembre.
 Además, la deforestación en el sur de la Amazonia alcanzó en 2020 su tasa más alta de la década, lo que implica que hay menos humedad disponible más al sur en Argentina, indicó la autora principal del informe, Paola Arias, climatóloga y profesora de la Escuela Ambiental de la Universidad de Antioquia, en Colombia.
 El equipo de científicos de World Weather Attribution emplea observaciones y modelos climáticos para determinar si el cambio climático es un factor en la frecuencia o la intensidad de un fenómeno climático extremo. Comparan lo ocurrido con la frecuencia de precedentes y emplean simulaciones informáticas que comparan la realidad con lo que habría ocurrido en un mundo sin el cambio climático provocado por la humanidad con la quema de combustibles fósiles.
 En el caso de esta sequía, los modelos muestran un ligero y poco significativo incremento de humedad derivado del cambio climático, pero una clara conexión con La Niña, que según los científicos se está disipando. Aún pasarán meses o más hasta que la región salga de la situación de sequía, y eso depende de si aparece el efecto contrario a La Niña, El Niño, explicó Juan Rivera, coautor del estudio y científico del Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales.
 En el pasado, el equipo de científicos no había encontrado conexiones evidentes entre el cambio climático y algunas inundaciones y sequías, aunque sí ven al cambio climático como un factor en la mayoría de fenómenos extremos que investigan.
 Uno de los motivos por los que hacemos estos estudios de atribución es para mostrar cuáles son los efectos realistas del cambio climático. Y no es que el cambio climático lo haga todo peor. No todas las cosas malas que ocurren ahora son por el cambio climático, dijo Friederike Otto.
 DM"
96,0,https://www.lanacion.com.ar/agencias/suspenden-partido-en-colombia-por-cruce-de-golpes-entre-futbolista-e-hincha-nid12022023/,Suspenden partido en Colombia por cruce de golpes entre futbolista e hincha,"El partido Tolima-Millonarios fue suspendido este domingo luego de que un hincha local golpeara en la chancha al jugador rival Daniel Cataño, y este respondiera con violencia, en un duelo por la cuarta fecha del torneo Apertura de Colombia.
 A escasos segundos de iniciar el juego un aficionado saltó de la tribuna y le dio un puño por la espalda al volante de Millonarios, en el estadio Manuel Murillo Toro de Ibagué (centro-oeste).
 Cataño persiguió a su agresor y también lo golpeó con una patada. Otros futbolistas de Millonarios corrieron hacia el hincha que luego fue detenido por la policía.
 El volante fue expulsado por el árbitro Wilmar Roldán, en medio del malestar de sus compañeros. Mackalister Silva, el capitán de Millonarios, abogó por retomar el partido, mientras Andrés Llinás y otros jugadores se opusieron.
 Finalmente Millonarios y su entrenador, Alberto Gamero, decidieron abandonar la cancha de Ibagué en respaldo a Cataño y con el argumento de ""sentar un precedente"".
 Los embajadores se fueron a los camerinos pese a que Roldán aseguraba que sí había garantías de seguridad para jugar el partido por parte de la policía. Los futbolistas del Tolima se quedaron unos minutos en la cancha y su presidente acusó a los rivales azules de un ""boicot al juego"".
 ""Lamentamos lo que pasó y estamos en contra de lo del hincha y también de las provocaciones del jugador"", añadió el presidente del Deportes Tolima, César Camargo.
 Unos 40 minutos más tarde el árbitro canceló de manera oficial el partido. Se espera la determinación de la División Mayor del Fútbol Colombiano (Dimayor) sobre los puntos pendientes y las posibles sanciones.
 El desencuentro tiene un antecedente. Daniel Cataño fue futbolista del Deportes Tolima en 2021 y 2022. En la final del torneo Apertura del año pasado erró un penal definitivo ante Atlético Nacional en Ibagué que terminó con su expulsión.
 Tolima perdió el título y desde entonces Cataño arrastra el odio de los hinchas 'pijaos'.
 El incidente provocó su pasó al Millonarios, pero los resentimientos entre los aficionados de su antiguo equipo siguen vivos.
 El sábado en el hotel de concentración, Cataño fue insultado por hinchas del Tolima.
 El 'Vinotinto y Oro' es noveno en el torneo Apertura del fútbol colombiano con 4 puntos, seguido de Millonarios que tiene 3.
 Lv/das/gfe
 AFPConocé The Trust Project"
136,0,https://www.eluniversal.com.co/deportes/atentos-asi-jugara-colombia-ante-mexico-en-su-debut-en-el-clasico-EH7999600,¡Atentos! Así jugará Colombia ante México en su debut en el Clásico,"La Selección Colombia sueña con pasar a la segunda ronda en el Clásico Mundial de Béisbol, en donde enfrentará a grandes equipos, pero esto es béisbol y las posibilidades son las mismas ante sus rivales de turno.
 El sábado será el debut en la fase de grupos ante México, un equipo lleno de Grandes Ligas y quien tendrá como abridor a Julio Urías, estrella de los Dodgers de Los Ángeles. En el papel, Colombia no aparece como el favorito, pero intentará dar lo mejor y buscar esa sorpresiva victoria ante los aztecas. Lea aquí: Clásico Mundial de Béisbol: Un grande del béisbol cae en su debut
 Vamos a divertirnos y a dejar en alto el nombre de nuestro país, señaló Jolbert Cabrera, piloto del equipo nacional.
 A propósito de Cabrera, este confirmó a este medio el line up que utilizará para el debut ante México. Nábil Crismatt será el lanzador abridor, mientras el receptor será Elías Díaz y la primera base, Reynaldo Rodríguez. El segunda base será Fabián Pertuz y el tercera Giovanny Urshela. El campocorto será Dayán Frías. En los jardines jugarán Jorge Alfaro en el izquierdo, Jesús Marriaga en el centro y Harold Ramírez en el derecho. El bateador designado será Jordan Díaz, pelotero de Montería y quien pertenece a los Atléticos de Oakland.
 Me siento excelente, cada año estoy mejor. Abrir ante México es agradable y tenemos que prepararnos para el día sábado, dijo Crismatt, nuestro abridor.
 Juego de preparación
 Colombia jugará hoy ante los Atléticos de Oakland en un partido de preparación para el Clásico. Las acciones serán a las 3:05 de la tarde, horario en Colombia en el Hohokam Stadium de Mesa, Arizona. Adrián Almeida será el abridor de nuestro equipo, que mañana jugará otro amistoso frente a las Medias Blancas de Chicago.
 Colombia jugará su segundo Clásico Mundial de Béisbol en su historia. Se acerca el debut en Phoenix, Estados Unidos."
15,0,https://www.lanacion.com.ar/agencias/mercados-colombianos-mejoran-por-menor-incertidumbre-local-nid06032023/,mercados colombianos mejoran por menor incertidumbre local,"(Actualiza con contexto y comentarios de analista)
 BOGOTÁ, 6 mar (Reuters) -
 Los mercados cambiario, accionario y de deuda de Colombia se
 valorizaban el lunes, por una menor incertidumbre local debido a
 que los agentes esperan ahora reformas económicas menos
 agresivas que lo esperado inicialmente luego de recientes
 traspiés en el Gobierno del presidente Gustavo Petro.
 El peso colombiano finalizó con alza de un
 1,71% a 4.704,60 unidades por dólar, el nivel más fuerte frente
 al dólar desde el 3 de febrero y en su cuarta sesión de
 ganancias.
 En el mercado secundario de deuda pública interna, los
 referenciados títulos TES con vencimiento en mayo del 2042 se
 valorizaban a un rendimiento de 12,502%, frente al cierre del
 viernes, de 12,864%.
 Los mercados reaccionaban a una decisión del Consejo de
 Estado a finales de la semana pasada, que suspendió un decreto
 que habilitaba a Petro para regular los servicios públicos de
 agua, saneamiento básico, energía y gas, al considerar que eso
 es competencia legal de las comisiones de regulación y que no es
 constitucional que el mandatario asuma esas funciones.
 La decisión de Petro había despertado preocupaciones de
 los inversores e incluso de la calificadora de riesgos Moody's.
 Días antes del anuncio de la corte, Petro remplazó a
 tres de sus ministros, incluido un fuerte crítico de una
 polémica reforma al sistema de salud que el mandatario presentó
 ante el Congreso.
 En opinión de analistas, las decisiones podrían minar el
 apoyo del mandatario de izquierda para esa y otras reformas que
 proyecta.
 En el más reciente hecho, la Fiscalía General anunció
 que investigará presuntos actos de corrupción del hijo mayor y
 del hermano de Petro, implicados en un escándalo por
 supuestamente haber recibido dinero de acusados narcotraficante
 para beneficiarse de una política de paz.
 ""Las decisiones de la rama judicial reciente, la salida
 de ministros y la pérdida de favorabilidad del Gobierno en las
 últimas encuestas han llevado al mercado a pensar en un
 escenario menos pesimista en materia de reformas"", explicó en un
 reporte el Banco de Bogotá.
 ""Justamente, ha dado paso a sobreponderar los activos
 locales, en algunos casos, que además se encuentran en niveles
 de entrada favorables, como es el caso de la renta fija"",
 agregó.
 Por su parte, el Credit Default Swap (CDS) o permutas de
 incumplimiento crediticio de Colombia a cinco años bajaba 10
 puntos básicos (bps) a 258 bps, contra el viernes.
 En la bolsa, el índice accionario MSCI COLCAP
 subía un 1,08% a 1.227,63 puntos.
 (Reporte de Nelson Bocanegra)
 ReutersConocé The Trust Project"
76,0,https://www.lanacion.com.ar/agencias/contralor-general-de-colombia-busca-recuperar-209-millones-de-dolares-de-recursos-desviados-por-nid06032023/,Contralor general de colombia busca recuperar 209 millones de dólares de recursos desviados por corrupción,"Por Luis Jaime Acosta
 BOGOTÁ, 6 mar (Reuters) - El contralor general de
 Colombia, Carlos Hernán Rodríguez, dijo el lunes que buscará
 recuperar un billón de pesos (209 millones de dólares) de
 recursos públicos perdidos por la corrupción impulsada por
 estructuras organizadas y sistemáticas dedicadas a planear el
 desvío y la apropiación de fondos estatales.
 La opinión pública considera la corrupción como uno de los
 principales problemas del país de 50 millones de habitantes en
 donde cerca de la mitad de la población vive en la pobreza y en
 el que apartadas zonas carecen de carreteras, escuelas y
 hospitales.
 Rodríguez reveló que poco más de seis meses que lleva al
 frente de la Contraloría General de la República ha logrado
 recuperar 350.000 millones de pesos (73,2 millones de dólares)
 una cifra muy superior a los 200.000 millones de pesos (52,2
 millones de dólares) en el último cuatrienio.
 El funcionario aseguró que para lograrlo en sus cuatro años
 de gestión aumentó los embargos y las medidas cautelares dentro
 de su labor de vigilancia de los recursos públicos que son
 desviados de contratos para obras de infraestructura, la salud y
 la alimentación de niños en zonas pobres.
 ""Yo aspiro a pasar del billón de pesos en recuperación de
 recursos"", dijo en una entrevista con Reuters Rodríguez, al
 admitir que esa cifra es ""una mínima parte"" de lo que se pierde.
 ""Esto es una estructura fregada, organizada y sistemática,
 no obedece a una circunstancia eminentemente coyuntural"",
 aseguró, al tiempo que anunció que el objetivo es tratar de
 desmontar gradualmente la corrupción, a la que también está
 asociada el sector privado.
 El funcionario encargado de cuidar y vigilar la inversión de
 los recursos públicos aseguró que calcular una cifra sobre lo
 que le cuesta anualmente la corrupción al país es difícil y
 reconoció que el descubrimiento de robos, sobornos y fraudes
 aumentó por mayores controles de la Contraloría y de la misma
 sociedad.
 Corrupción desde planeación
 Sin embargo, uno de los antecesores de Rodríguez calculó en
 el 2017 en hasta 50 billones de pesos (10.478,3 millones de
 dólares) el costo anual de la corrupción, más del doble de la
 reforma tributaria que le aprobó el Congreso al Gobierno del
 presidente Gustavo Petro a finales del 2022 por 20 billones de
 pesos para financiar una mayor inversión social.
 Colombia se ubicó en el 2022 en el puesto 91 entre los 180
 países evaluados por Transparencia Internacional y mantuvo su
 puntaje de 39 sobre 100 por tercer año consecutivo. Desde 2012
 no ha logrado cambios significativos.
 En la calificación, 100 indica que el país se percibe como
 muy transparente, mientras que 0 señala que es percibido como
 muy corrupto.
 Rodríguez denunció que la corrupción comienza en la
 planeación de los proyectos y reveló que la Contraloría detectó
 1.721 obras de infraestructura inconclusas o en proceso de
 abandono, denominadas ""elefantes blancos"" y valoradas en 14
 billones de pesos (2.938,3 millones de dólares).
 ""La corrupción se comienza a gestar desde la etapa misma de
 la planeación"", aseguró Rodríguez, un abogado de 53 años. ""Se
 comienza a estructurar un proyecto, incluso no para ejecutar
 propiamente una obra, sino para mirar la manera y la forma
 mediante la cual se va a saquear un erario público"".
 La Contraloría tiene facultades para confiscar los bienes de
 las personas implicadas en casos de corrupción y recuperar
 recursos, mientras que la Procuraduría investiga y sanciona
 disciplinariamente a funcionarios hasta con destitución y la
 Fiscalía inicia procesos criminales.
 Rodríguez sostuvo que Colombia debe encender las alarmas
 para evitar el desvío de más de 32 billones de pesos (6.693,3
 millones de dólares) que invertirá el país en los próximos dos
 años de recursos provenientes de las regalías del sector minero
 energético.
 El contralor dijo que, si se asignan sin corrupción, el
 desarrollo se verá en diferentes regiones y solicitó al Gobierno
 desembolsar recursos a los contratistas proporcionalmente a la
 ejecución de las obras.
 ""El problema más grave que tenemos en el país no es un
 problema de falta de recursos, el problema es un problema de
 desviación de recursos"", concluyó.
 (1 dólar = 4.780,89 pesos)
 (reporte de luis jaime acosta)
 ReutersConocé The Trust Project"
7,0,https://www.kienyke.com/marketing/linda-caicedo-nueva-cara-operador-colombia,Linda Caicedo: la nueva cara de reconocido operador en Colombia,"Linda Caicedo es una de las jugadoras de la Selección Colombia femenina que llegó a la primera final de una Copa América. A sus 17 años, la joven vallecaucana fue reconocida como la mejor jugadora del torneo, galardón que fue otorgado por la Conmebol. 
 Tras su actuación en la Copa América, Linda Caicedo se convirtió en una referente para los y las seguidoras del fútbol femenino. Recientemente, Linda firmó un convenio con una reconocida empresa y operadora de telecomunicaciones del país. 
 Se trata de Claro Colombia, quien bajo el propósito de apoyar el deporte y a los atletas colombianos, anunció el reciente convenio con Linda Caicedo para que sea su nueva imagen en los próximos años. 
 Para mi es motivo de orgullo ser parte del grupo de atletas Claro, contar con su apoyo y representar a los deportistas colombianos que buscamos siempre llevar el nombre de nuestro país en alto. Siento la responsabilidad de que los colombianos se sientan orgullosos de nuestros logros. Además, quiero representar a todas las mujeres fuertes de nuestro país para que sigamos alcanzando y sobrepasando nuestros potenciales y, sobre todo, invitarlas para que la tecnología sea nuestro principal aliado para empoderarnos, indicó Linda Caicedo.
 Por su parte, Claro Colombia aseveró que estará acompañando a los colombianas en el camino hacia el campeonato mundial y el torneo de fútbol sudamericano fememino que se jugarán en 2023. 
 Estamos muy orgullosos de contar con Linda como representante del deporte y de las mujeres colombianas, que día a día demuestran que lo pueden todo. Queremos dar un mensaje de fortaleza, esfuerzo y sentido de pertenencia por este país, por eso Linda será la portavoz de buenas noticias, además que podremos vibrar con ella en los eventos en los que la tricolor esté participando, afirmó la Ingrid Pérez Trujillo, directora de Marketing y Medios de Comunicación de Claro. 
 Linda Caicedo y los atletas que hacen parte del Comité Olímpico Colombiano, cuentan con el apoyo y el reconocimiento de Claro, empresa que ha sido representada por deportistas como Carlos Ramírez, Yuberjen Martínez, Íngrid Valencia, Jacqueline Rentería, Yosimar Calvo, Tatiana Calderón, Sebastián Montoya, la atleta paralímpica Francy Osorio, entre otros."
6,1,https://www.elmostrador.cl/revista-jengibre/2023/03/05/cali-un-paraiso-para-los-amantes-de-las-aves-en-el-suroeste-de-colombia/,"Cali, un paraíso para los amantes de las aves en el suroeste de Colombia","A la familia Camacho Márquez el revoloteo de los pájaros les cambió la vida. Su finca se llama ""Bosque de niebla"" y en menos de 4.500 metros cuadrados hay 460 especies de aves, muchas más que en países como Bélgica, Suiza o Austria.
 Estos animales de patas delgadas, plumas de todos los colores y picos traviesos lograron que padre, madre e hijo vendieran todo lo que tenían en el centro de Cali, la tercera ciudad de Colombia, para trasladarse a la zona rural del llamado Kilómetro 18 donde dedican su existencia a la preservación de las aves en la montaña.
 ""Todo pasó cuando el niño veía a su papá, ingeniero de sistemas, salir de la casa antes de las cinco de la mañana para observar aves y eso lo contagió de su pasión. Luego me llevaron a mí y también me enamoré al ver los animalitos"", explica a EFE la madre, Ángela Márquez, de profesión abogada.
 Márquez agrega que un día, ""mientras estábamos pajareando, vimos esta finca (Bosque de niebla) y decidimos comprarla. En menos seis meses dejamos todo, vendimos el apartamento, el carro y nos despedimos de las oficinas para dedicarnos a ser felices"".
 Riqueza natural
 Como los Camacho Márquez ya son 12 las familias que le apuestan a emprendimientos de aviturismo en la zona rural de Cali, con lo cual cerraron la puerta a los cultivos que deforestan las montañas y le abrieron paso a miles de turistas que buscan fotografiar las 563 especies de estos animales que tiene esta ciudad, capital del departamento de Valle del Cauca.
 Cali es rica en especies de aves por su cercanía a la cadena montañosa de los Farallones, que hace parte de la Cordillera Occidental y del denominado Chocó biogeográfico, una de las zonas del mundo más ricas en naturaleza porque conecta la costa Pacífica, desde Panamá hasta Perú.
 Según el director de la Colombia Bird Fair, Carlos Mario Wagner, esta ciudad tiene una gran responsabilidad con el planeta porque tiene más aves que muchos países europeos y es su deber conservar esa biodiversidad.
 ""Hacia el año 2004 el sector del Kilómetro 18 fue declarado zona de gran importancia para la preservación de las aves por ser un sitio crítico que podría acabar en la extinción. Hoy en día es un ejemplo y un lugar que todos quieren visitar"", precisa Wagner a EFE.
 En busca de tesoros
 En la Feria Internacional de la Aves, celebrada del 16 al 19 de febrero, más de 1.500 asistentes madrugaban a las montañas con enormes binoculares, cámaras fotográficas de alta precisión y trajes camuflados para apreciar los animalitos.
 Turistas de Estados Unidos, Corea del Sur, Brasil, Alemania, Ecuador, Holanda, Reino Unido, Suiza y Taiwán, entre otros países, no ocultaban su asombro al ver los coloridos brincos de colibríes, tucanes, torcazas y pavas que merodean por la ciudad.
 ""Tenemos una responsabilidad enorme con el mundo de crear medios para la preservación de estos espacios que hoy son una estrategia de desarrollo rural y sostenible"", añade Wagner.
 Gunther Klonner es de Austria y viajó miles de kilómetros con un solo objetivo: observar la tángara multicolor, un pajarito de 12 centímetros que es endémico de Colombia y que a todos los amantes de las aves les encanta apreciar.
 ""Es mi primera vez en Colombia y no me arrepiento. Ver esta ave en todo su esplendor es único y una de mis mejores experiencias a mis 36 años de aventuras"", afirma.
 Para pajarear hay que situarse en la montaña antes que salga el sol, aguardar en silencio, mimetizarse en el bosque y dejar que la magia natural fluya.
 ""Colombia es una maravilla del universo, es un paraíso. Esperé toda la vida para venir a Cali, conocer sus aves y vivir la pasión que me mueve desde niño en esta zona donde la naturaleza es hermosa"", señala por su parte el ornitólogo ecuatoriano Francisco Sornoza."
87,0,https://actualidad.rt.com/actualidad/455028-petro-delega-comision-investigar-denuncias-violaciones-ninos,Petro delega una comisión para investigar denuncias sobre violaciones de niños en Colombia,"El presidente de Colombia, Gustavo Petro, ordenó este viernes investigar, de manera inmediata, las denuncias de violaciones contra menores de edad en el departamento del Guaviare, región ubicada en el Amazonas colombiano.
 ""He pedido que una comisión del ICBF (Instituto Colombiano de Bienestar Familiar) y de Presidencia, se desplace inmediatamente al Guaviare y atienda las denuncias de violaciones a menores de edad. Este horror lleva años estimulado por la impunidad. Se iniciarán todas las investigaciones, incluso por la omisión de funcionarios"", dijo Petro a través de Twitter.
 He pedido que una comisión del ICBF y de Presidencia se desplace inmediatamente al Guaviare y atienda las denuncias de violaciones a menores de edad. Este horror lleva años estimulado por la impunidad. Se iniciarán todas las investigaciones, incluso por la omisión de funcionarios
 — Gustavo Petro (@petrogustavo) January 13, 2023
 El anuncio de Petro es en respuesta a un presunto caso sobre abusos sexuales que habrían cometido civiles, miembros del Ejército de Colombia y soldados de los EE.UU. contra niñas del Amazonas, sobre todo las pertenecientes a las comunidades indígenas de Nukak y Jiw.
 Por su parte, el ICBF detalló que la comisión adelanta jornadas de búsqueda e identificación de niños y adolescentes vulnerables por el consumo de sustancias psicoactivas, alta permanencia en calle y violencia sexual.
 El caso se conoció en un reportaje del periodista Gerardo Reyes para Univision. Por su parte, John Rhatigan, agregado de prensa y portavoz de la Embajada de EE.UU. en Bogotá, dijo el pasado miércoles, citado por el medio W Radio, que ellos no tenían conocimiento de alguna investigación.
 ""Las Fuerzas Militares de los EE.UU. se toman en serio cualquier acusación de abuso sexual y están comprometidas con la investigación de cualquier acusación de delitos sexuales o de mala conducta. En este momento, no tenemos conocimiento de ninguna investigación por parte de las autoridades colombianas sobre ninguna denuncia en el Guaviare"", relató Rhatigan.
 Si te parece interesante, ¡compártelo con tus amigos!"
79,0,https://www.eluniversal.com.co/sucesos/caso-chocho-los-padres-de-nunez-lo-convencieron-a-que-se-entregara-HN7852999,Caso Chochó: Los padres de Núñez lo convencieron a que se entregara,"Los padres del Coronel (r) Benjamín Darío Núñez Jaramillo fueron quienes lo convencieron de entregarse a las autoridades una vez huido del país, tras asesinar a los tres jóvenes del corregimiento de Chochó (Sincelejo).
 Así lo expresó el propio oficial retirado de la Policía Nacional y hoy principal imputado dentro de la investigación que desarrolla la Fiscalía General de la Nación para esclarecer la llamada masacre de La Garita, sucedida el 25 de julio de 2022.
 Núñez Jaramillo dijo además que siempre tuvo contacto con sus padres, a quienes manifestaba que no entendía por qué se había generado tal situación, confesándoles al mismo tiempo, haber cometido el triple homicidio.
 Le puede interesar: Caso Chochó: Coronel Núñez pidió perdón por masacre de los tres jóvenes
 Mi papá siempre me asesoró, manifestándome que sí había oportunidad de encontrar justicia en este caso, no solo para los familiares de las víctimas, sino para mí, porque Dios no mira categorías en los pecados, Él los perdona todos, enfatizó.
 Benjamín Darío, quien está recluido en la cárcel de La Dorada (Caldas), dijo saber que traicionó los principios enseñados por su padre y su madre de respetar la vida de los demás, de reconocer a todos como personas y seres humanos.
 Desde que salí de Colombia y hasta llegar a México yo me pregunté por qué yo había hecho eso, no lo entendía. Entonces, como hijo de Dios y conocedor de la Palabra, me refugié en ella, y Dios me mostró el camino, y aun así Él me perdonó, expresó.
 Durante la audiencia de presentación del acuerdo que hizo con la Fiscalía, el teniente coronel dijo también: A Yamit Henao, mi conductor; a Álvaro Álvarez, mi escolta; a la patrullera Diana Puerta, quien fue una de las primeras que atendió el caso; a Uber Mieles y Leila Ávila, les pido disculpas porque ellos no tienen nada que ver con este triple homicidio que yo cometí.
 Cabe anotar que muchos ciudadanos, a través de las redes sociales, expresan que no entienden como una persona asesina a tres jóvenes, cuando minutos, supuestamente, los defendía para que no les siguieran golpeando."
235,1,https://www.eluniversal.com.co/suplementos/facetas/la-pesca-indiscriminada-en-el-caribe-esta-ahogando-a-los-peces-EI7921161,La pesca indiscriminada en el Caribe está ahogando a los peces,"Las zonas de pesca del Caribe colombiano son explotadas de manera irresponsable, lo que pone en peligro las poblaciones de peces y la subsistencia de comunidades locales que dependen de este recurso para su economía y alimentación, pese a los esfuerzos del Gobierno y la industria por implementar prácticas sostenibles. Lea: En Cartagena buscan que se revoque la prohibición de la pesca deportiva
 La sobrepesca y la falta de regulaciones adecuadas están dejando un impacto negativo en la región que requiere de medidas urgentes para proteger sus ecosistemas y asegurar un futuro sostenible para las comunidades costeras, dice a EFE el coordinador de programas de la Fundación MarViva, Juan Manuel Díaz, quien indica que el Caribe está sobrepescado y en las últimas.
 Si uno mira las estadísticas de cuánto pescado se saca anualmente en el Caribe es terrible, menciona Díaz, y agrega que la miseria del pescador artesanal en esa zona del país es fuerte, ya que la pesca indiscriminada está amenazando su sustento y tienen que luchar a diario para sobrevivir en medio de condiciones económicas y ambientales adversas.
 COLOMBIA, SOBREEXPLOTADA
 En su Informe sobre Pesca 2022, la Organización para la Cooperación y el Desarrollo Económicos (OCDE) indica que Colombia tiene, de 32 países analizados, la mayor proporción de poblaciones de peces que no cumplen con los estándares de sostenibilidad.
 Según el documento, en Colombia se evaluaron 29 reservas de diferentes especies de peces o mariscos y se concluyó que más de la mitad no gozaban de buena salud.
 Por su parte, la Autoridad Nacional de Acuicultura y Pesca (Aunap), encargada de ejecutar la política del sector en Colombia, explica a EFE que estos estudios le permiten al país evaluar y generar las debidas acciones de mejora en la industria pesquera, entendiendo también sus capacidades y niveles de desarrollo. Lea: La resistencia de los pescadores de Pasacaballos
 Estamos comprometidos con la acuicultura y la pesca responsable, razón por la que venimos desarrollando diferentes acciones que permiten un aprovechamiento sostenible de los recursos pesqueros del país, detalla la Aunap.
 Sin embargo, la Fundación MarViva, con sedes operativas en Costa Rica, Panamá y Colombia que buscan la protección del mar y la costa, denuncia que los enfoques de la Aunap se han ido hacia el aumento del esfuerzo pesquero, lo que significa más lanchas, redes y pescadores.
 Piensan que eso va a traer más pescado y llega un punto en el que no ocurre, señala Díaz, quien añade que por más que se siga aumentando el esfuerzo pesquero, llega un momento en que no pescan nada.
 El informe de la OCDE se fija en la gestión pesquera de los gobiernos y señala que casos como el de China, que tienen demasiadas subvenciones a la pesca, están ocurriendo en el país: Eso se llama incentivos perversos, porque se está incentivando a que capturen más (peces) sin tener conocimiento de cómo están los stocks en Colombia, considera Díaz.
 LA OTRA CARA DE LA PESCA
 Bahía Solano, una zona afectada por el conflicto armado en el Pacífico colombiano, se ha convertido, según MarViva, en un modelo de pesca sostenible con prácticas responsables por parte de sus pescadores, lo que le ha permitido a la comunidad local preservar sus recursos marinos y mejorar su calidad de vida.
 Nos hemos dedicado a realizar una pesca responsable y sostenible, apunta el propietario de Pesquera La Merluza, Jorge Iván Chica, y agrega que el principal objetivo de los pescadores es garantizar que la pesca cumpla todas las normas de sostenibilidad para que los peces gocen de buena salud y así los nuevos pescadores y las futuras generaciones puedan seguir viviendo de esto.
 Todo comenzó con un colapso en 2006 porque estaban utilizando toda clase de artes de pesca nocivas para las especies.
 Nos estábamos haciendo daño a nosotros y al medioambiente, dice el propietario de esta pesquera. Le propusimos al Gobierno sacar todos los trasmallos, equipos y artes de pesca nocivos, al mismo tiempo que le exigieron una zona de pesca bajo ley.
 Fue así como en 2008 la resolución temporal 2650 declaró la zona exclusiva de pesca artesanal (ZEPA) en el norte del departamento del Chocó, declarada permanente en 2013 y al mismo tiempo se le extendió a los límites con Panamá y el Parque Nacional Utría.
 Todo pescado debe pasar por la talla media de madurez y debe ser capturado con línea de mano anzuelo en la ZEPA por pescadores artesanales de la región, afirma Chica, y concluye que en Bahía Solano se ha hecho una sensibilización con los pescadores, los dueños de las pesqueras y los habitantes con el fin de preservar y conservar."
